image,box_XYXY
000000428301.jpg,"[378.30048, 231.5241, 498.20792, 304.23166]"
000000558528.jpg,"[0.0, 191.20102, 287.31348, 298.71323]"
000000333746.jpg,"[487.41455, 217.59038, 499.27838, 234.08128]"
000000336063.jpg,"[567.3125, 262.31958, 639.4055, 330.42276]"
000000429688.jpg,"[105.43219, 182.183, 200.52419, 225.98082]"
000000301373.jpg,"[245.37822, 299.30017, 273.49768, 340.9347]"
000000301373.jpg,"[91.35942, 274.78543, 254.72905, 385.52975]"
000000301373.jpg,"[2.7447493, 223.98004, 93.98559, 429.82474]"
000000301373.jpg,"[533.6777, 280.22824, 556.2024, 304.7763]"
000000301373.jpg,"[269.4029, 236.01761, 420.31235, 354.57196]"
000000560222.jpg,"[161.78487, 335.19562, 226.09738, 374.66803]"
000000560222.jpg,"[212.321, 324.42596, 256.81982, 369.6516]"
000000330677.jpg,"[573.9865, 200.4597, 639.9085, 251.15413]"
000000330677.jpg,"[452.5107, 209.63927, 633.57684, 282.33188]"
000000330677.jpg,"[536.0891, 212.21112, 637.2783, 285.2622]"
000000296540.jpg,"[223.16133, 160.23894, 311.13342, 211.68494]"
000000232031.jpg,"[95.73178, 191.91884, 486.16376, 343.80164]"
000000562217.jpg,"[277.03143, 492.53226, 417.10864, 552.9939]"
000000426519.jpg,"[499.32068, 430.23547, 640.0, 518.2641]"
000000068152.jpg,"[549.72296, 213.6659, 593.6398, 232.5419]"
000000068152.jpg,"[389.6493, 255.47586, 420.81436, 281.90613]"
000000203257.jpg,"[86.05143, 174.84503, 148.79968, 226.18225]"
000000203257.jpg,"[151.32426, 199.62514, 232.4663, 279.515]"
000000203257.jpg,"[167.53586, 112.905495, 214.41553, 154.49394]"
000000203257.jpg,"[237.0536, 32.293774, 267.37515, 45.81186]"
000000364491.jpg,"[0.0, 427.30386, 158.60397, 476.05914]"
000000167695.jpg,"[137.35716, 43.55283, 441.2422, 162.49554]"
000000367484.jpg,"[0.0, 332.4538, 40.033062, 371.56116]"
000000367484.jpg,"[2.263483, 320.99933, 275.54068, 632.0836]"
000000170393.jpg,"[11.177495, 143.75563, 587.36456, 354.1946]"
000000430395.jpg,"[0.0, 6.869599, 395.04123, 290.4607]"
000000202617.jpg,"[73.0389, 175.27307, 99.13594, 187.25694]"
000000202617.jpg,"[30.703157, 183.57498, 76.62301, 233.51387]"
000000302599.jpg,"[66.891594, 171.70917, 515.878, 283.75665]"
000000107305.jpg,"[82.650314, 243.92596, 152.07158, 273.8405]"
000000335521.jpg,"[329.21475, 355.04553, 453.80157, 399.93994]"
000000202112.jpg,"[43.371128, 232.92662, 274.26315, 332.0981]"
000000327919.jpg,"[588.7827, 222.98238, 640.0, 253.88135]"
000000132954.jpg,"[21.150791, 173.8689, 125.38546, 248.99426]"
000000099425.jpg,"[183.26703, 191.46158, 351.69485, 328.94592]"
000000526301.jpg,"[0.16995603, 103.68772, 186.36559, 368.5809]"
000000467564.jpg,"[417.6547, 235.12276, 498.74927, 291.01038]"
000000467564.jpg,"[459.33527, 221.63992, 501.32434, 248.29031]"
000000467564.jpg,"[346.92444, 168.44008, 382.7377, 198.50148]"
000000467564.jpg,"[47.112247, 224.3756, 272.38666, 359.7399]"
000000467564.jpg,"[436.36823, 233.93991, 486.73764, 267.37097]"
000000269975.jpg,"[289.0577, 250.44395, 353.53256, 301.52924]"
000000269975.jpg,"[379.79718, 249.70442, 462.24344, 297.46127]"
000000328382.jpg,"[453.9873, 162.13019, 636.16516, 207.63976]"
000000328382.jpg,"[453.11118, 145.70816, 548.4138, 178.69048]"
000000328382.jpg,"[511.77182, 137.6508, 619.0447, 163.2008]"
000000329684.jpg,"[0.0, 518.60834, 47.7038, 560.59235]"
000000328487.jpg,"[1.1640222, 301.86426, 125.27784, 429.65326]"
000000234293.jpg,"[90.505844, 268.5346, 133.80214, 313.02322]"
000000496673.jpg,"[366.50983, 182.16759, 490.4583, 223.54582]"
000000496673.jpg,"[386.10876, 183.41261, 461.9317, 209.64249]"
000000363581.jpg,"[522.4067, 160.92421, 639.15936, 210.72934]"
000000363581.jpg,"[617.78326, 202.22559, 639.20667, 234.25868]"
000000368087.jpg,"[213.43877, 426.62433, 227.50124, 448.51077]"
000000368087.jpg,"[225.42583, 425.96622, 252.63522, 451.37357]"
000000368087.jpg,"[522.86206, 430.68176, 536.64716, 445.6647]"
000000368087.jpg,"[88.565956, 414.2541, 125.13746, 463.21036]"
000000131678.jpg,"[606.7276, 294.82242, 639.98895, 324.39328]"
000000402212.jpg,"[593.0007, 176.35344, 639.1613, 380.95737]"
000000264676.jpg,"[23.67286, 67.87211, 35.73858, 78.89497]"
000000264676.jpg,"[89.79279, 28.881372, 553.94586, 312.46448]"
000000264676.jpg,"[72.90909, 66.0798, 86.121956, 88.069336]"
000000003590.jpg,"[223.80797, 191.66023, 272.99316, 223.61511]"
000000170700.jpg,"[366.55914, 367.05606, 620.6845, 475.76175]"
000000170700.jpg,"[338.665, 334.6604, 449.0995, 394.46698]"
000000466451.jpg,"[44.57727, 117.47034, 608.7662, 420.89954]"
000000431555.jpg,"[231.25526, 202.11949, 240.90492, 215.10432]"
000000266363.jpg,"[328.07175, 175.8701, 361.0, 232.49736]"
000000006562.jpg,"[551.18463, 344.30374, 638.2559, 428.3665]"
000000200447.jpg,"[494.24164, 342.26755, 522.45074, 386.5282]"
000000328348.jpg,"[0.0, 50.159397, 26.007374, 86.38701]"
000000491881.jpg,"[374.3542, 223.21419, 509.27768, 298.4644]"
000000495310.jpg,"[593.9632, 212.3725, 639.22345, 278.03906]"
000000102405.jpg,"[1.206022, 190.8497, 69.66371, 213.70479]"
000000102405.jpg,"[383.9614, 149.44955, 448.42612, 177.26366]"
000000102405.jpg,"[365.32962, 149.62865, 385.17102, 169.05058]"
000000264828.jpg,"[76.65775, 246.25508, 124.35788, 267.55276]"
000000170754.jpg,"[312.60455, 227.71048, 332.93652, 242.3597]"
000000330455.jpg,"[281.76862, 273.46738, 478.53256, 417.50964]"
000000330455.jpg,"[355.8307, 222.61751, 392.22092, 242.88417]"
000000332877.jpg,"[167.151, 113.01288, 178.06682, 119.27079]"
000000203870.jpg,"[349.85696, 349.40665, 394.30585, 358.9116]"
000000203870.jpg,"[361.37445, 350.49918, 384.66992, 357.2984]"
000000267802.jpg,"[304.08908, 248.33687, 432.81015, 315.4998]"
